Blog	doesnt	months	lot	morning	friday	trump	might	see	earlier	business	water	service	know	major	san	sunday	comes	using	data	youre	people	app	version	better	hillary	department	everything	wrong	hours	matter	sure	web	done	good	youve	league	way	building	next	anyone	part	think	makes	theres	something	much	get	ever	released	great	pick	series	convention	blog	company	days	still	democratic	according	set	hit	health	used	huge	trying	youll	want	shows	always	perfect	look	whose	ive	well	new	donald	american	news	whole	help	year	meet	tim	car	read	night	however	agreement	photo	media	hes	probably	content	website	americas	since	man	post	email	nothing	project	though	appeared	music	ways	wont	h	upcoming	companies	thats	actually	republican	show	fans	system	daily	dnc	going	wonder	another	smart	favorite	available	heres	ceo	guy	says	surface	years	high	plans	second	little	four	bad	worlds	city	stars	question	director	police	course	key	wireless	month	talk	growth	past	report	enough	started	said	play	latest	first	writing	lets	tools	original	amazon	making	familiar	experience	comiccon	looks	learn	without	finally	would	open	dont	full	please	find	running	biggest	week	olympic	game	party	creative	trumps	york	welcome	results	seem	three	bit	together	country	official	believe	buy	billion	massive	big	location	point	ones	may	live	july	customers	survive	day	design	someone	old	feel	use	house	early	behind	could	thing	name	least	verizon	quick	long	many	really	thanks	around	life	via	money	instead	got	idea	beyond	south	number	designed	found	continue	kaine	movie	need	states	visit	like	power	time	summer	win	pokémon	john	users	best	internet	back	call	trailer	information	white	check	google	windows	recent	related	us	often	change	one	woman	nasa	book	every	team	last	trek	keep	right	away	world	men	hard	click	thought	human	called	reported	along	site	process	leave	share	case	state	article	family	saturday	national	coming	twitter	yet	million	opening	tv	place	top	give	clinton	weve	easy	weeks	today	quickly	came	decided	make	stories	take	women	space	made	sweet	become	ago	former	kind	reading	games	weekend	im	online	say	home	technology	including	watch	never	real	tech	theyre	didnt	links	panel	video	run	across	far	price	things	two	star	even	list	person	come	anything	support	small	given	love	free	work
Entertainment, television, theater, music, movie news | The Denver Post	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
NYT > Technology	0	0	0	0	1	0	0	1	0	0	0	2	0	1	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC News: World News Tonight	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Reuters: Business News	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1
InfoWorld	0	2	1	0	0	2	0	4	0	2	0	1	2	1	0	0	2	2	15	2	6	6	7	1	0	0	1	0	2	0	0	7	2	4	0	0	2	3	4	1	2	0	0	0	0	1	10	0	2	1	1	2	0	2	5	4	3	0	1	2	0	0	6	0	2	2	2	0	0	3	0	1	0	1	13	1	1	5	1	2	4	0	0	0	34	0	4	0	2	1	0	2	0	2	0	0	0	0	0	1	2	2	0	0	5	2	4	2	1	3	2	0	2	0	4	6	0	2	0	0	0	0	2	0	2	0	0	2	2	2	4	0	1	1	1	0	0	3	3	0	2	2	10	3	4	0	0	0	4	0	1	8	0	2	2	0	2	6	1	8	1	0	0	0	0	3	2	1	4	4	4	30	30	1	0	1	2	1	1	1	2	0	0	0	1	0	7	0	0	0	0	2	0	0	2	2	2	1	1	0	1	0	6	2	0	2	0	1	0	8	0	0	0	10	0	0	2	2	1	2	7	1	0	4	2	1	2	0	1	0	0	0	2	3	1	0	0	2	4	0	1	5	3	2	1	1	0	0	5	3	5	3	4	1	5	0	3	9	21	0	1	5	1	0	5	0	0	0	1	1	1	0	5	2	1	2	0	2	31	0	2	2	1	1	3	0	30	1	1	0	31	0	0	1	2	1	0	0	0	0	1	5	2	0	2	0	1	5	0	1	0	6	2	3	0	1	0	0	4	4	0	0	0	3	0	0	0	1	3	10	4	0	0	0	9	0	0	0	0	1	4	2	0	3	1	1	0	5	3	0	1	0	1	2	0	0	4	2
9to5Mac	0	2	0	2	5	0	0	1	3	2	0	0	1	2	0	0	2	2	2	0	1	15	1	2	0	0	0	1	0	0	2	2	0	2	2	0	1	0	3	0	0	0	2	0	1	0	6	7	3	3	0	1	0	0	3	0	6	0	0	2	4	0	0	0	1	0	0	2	2	4	0	1	1	0	12	0	0	2	0	1	6	0	2	3	0	0	2	0	2	1	0	1	2	1	0	2	0	1	2	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	2	1	0	2	0	0	0	0	5	0	6	1	1	1	0	2	1	0	0	0	0	0	0	4	1	0	0	2	1	0	3	1	2	5	7	0	0	0	2	3	0	0	0	0	1	0	1	1	0	3	1	2	0	0	2	0	7	0	4	0	1	0	1	0	0	0	2	1	1	0	3	0	3	0	0	1	3	0	0	3	3	7	2	0	2	2	0	1	1	3	0	2	1	2	0	1	0	2	0	0	4	0	2	1	1	2	3	1	0	0	0	0	2	0	2	2	0	1	0	0	0	2	1	5	1	0	7	0	3	12	0	1	2	0	2	0	2	4	0	0	0	2	0	0	3	0	0	0	0	1	5	0	2	0	2	1	0	0	0	0	0	0	2	0	2	0	0	1	5	0	0	0	1	0	0	3	1	0	1	2	0	4	0	0	3	0	2	9	4	0	0	1	1	1	0	1	0	0	1	0	0	0	0	3	0	0	0	1	3	2	0	6	2	0	0	0	1	0	0	6	1	0	0	4	2	2	2	3	0	0	3	0	0	0	1	0	11	2
ABC News: GMA	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
CNN.com - Science and Space	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Science & Health – FiveThirtyEight	0	0	1	1	1	5	1	1	1	1	0	0	2	0	0	1	0	1	1	0	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	1	0	2	0	0	0	1	3	0	0	2	0	0	0	1	1	2	0	1	0	2	4	1	3	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	4	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	1	0	2	3	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	2	0	3	0	2	0	1	0	0	0	0	1	0	1	2	0	0	0	4	0	0	0	0	0	1	2	1	0	3	0	0	0	2	0	1	0	0	0	0	2	0	0	0	1	1	0	6	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	4	3	0	4	0	1	0	0	0	3	0	0	1	0	0	0	2	0	1	0	1	2	0	0	0	3	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	2	0	2	0	0	2	0	1	0	1	1	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
Home - CBSNews.com	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PCWorld	3	0	0	0	2	0	3	4	1	3	0	2	3	2	1	0	1	4	8	3	6	5	2	1	0	0	0	1	0	0	0	0	1	6	1	0	2	0	1	3	6	0	0	2	0	1	6	0	1	1	1	1	1	1	9	1	5	0	4	1	2	0	7	3	0	5	1	2	1	0	1	0	0	3	11	0	0	5	0	3	3	1	1	0	31	1	1	1	0	1	0	0	0	0	0	5	0	1	1	0	0	2	0	1	0	2	0	2	1	4	0	1	0	0	1	3	0	3	0	2	1	0	6	0	4	0	1	2	1	0	3	1	1	3	2	1	0	2	3	0	2	1	1	3	2	1	1	0	3	0	0	5	0	1	6	0	3	3	1	5	0	0	1	0	3	0	2	0	2	2	7	30	28	2	0	1	9	0	6	0	1	1	0	0	2	3	1	1	1	1	0	1	2	1	2	2	0	0	2	2	3	4	3	0	0	3	1	0	0	1	0	0	0	6	0	1	3	2	0	2	2	2	0	2	1	0	1	1	2	0	0	0	2	3	2	0	0	1	2	4	0	6	6	3	1	0	7	0	8	5	3	2	3	0	0	0	1	6	1	1	0	3	1	1	4	0	0	0	1	2	1	0	1	4	3	4	1	4	28	0	1	2	3	1	1	2	28	0	1	0	28	0	0	2	0	5	0	3	2	6	4	2	1	0	1	0	4	0	0	3	1	1	0	1	1	0	2	0	0	2	0	1	0	4	1	0	1	2	4	1	3	0	0	3	1	1	1	0	1	1	1	0	3	2	0	2	0	4	3	1	2	0	2	1	0	0	2	0
Copyblogger	0	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	4	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	1	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	11	0	0	0	0	2	0	0	4	2	0	2	0	10	1	0	0	1	10	0	1	1	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0
CNN.com - RSS Channel - Travel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
News : NPR	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
Mashable	0	0	3	4	4	2	1	25	2	0	0	4	4	2	5	2	0	2	0	2	10	4	1	3	1	0	1	3	1	1	0	0	1	3	0	1	2	0	3	0	1	2	1	5	2	2	4	1	3	0	0	9	1	0	1	2	6	3	2	1	1	0	0	1	2	2	1	2	0	0	7	2	0	2	22	2	3	3	1	3	1	0	0	2	31	5	2	0	1	1	6	2	0	1	1	2	3	1	1	3	2	5	2	0	2	2	4	1	0	5	2	2	4	2	1	0	2	3	2	0	1	1	0	0	1	2	0	2	2	4	0	0	4	0	0	0	3	4	1	1	0	3	0	0	0	2	0	0	0	1	5	5	2	0	17	0	5	0	2	0	1	0	0	19	5	1	0	2	3	0	2	2	1	5	1	0	1	0	0	3	0	1	4	0	0	0	3	0	0	0	0	1	0	0	1	3	0	0	0	6	3	2	1	2	2	0	2	4	1	1	4	2	0	3	1	2	1	0	1	0	4	0	2	2	1	4	0	0	0	2	3	1	0	1	2	0	0	3	3	0	0	12	3	5	1	0	2	0	1	3	2	8	0	14	0	4	2	0	3	1	0	5	0	0	10	2	6	2	4	1	5	7	0	1	2	10	0	0	0	2	3	1	1	2	0	0	1	4	0	3	0	0	8	2	3	3	0	3	3	11	0	2	1	0	0	0	3	0	0	0	0	5	0	4	2	8	5	0	1	0	2	2	0	0	4	0	1	3	6	1	1	1	1	2	6	3	2	3	6	6	1	2	3	0	4	3	11	2	1	3	0	1	0	0	2	2	2	3
Power of Positivity: Positive Thinking & Attitude	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	10	0	1	0	0	10	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	2	2	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	2	1	0	0	1	0	2	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	4	0	0	1	0	1	0	0	0	0	0	2	0	2
MetaFilter	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	5	0	2	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	1	2	1	2	2	1	0	0	0	2	0	1	2	0	0	2	1	1	1	0	1	0	0	0	1	0	1	0	0	6	3	0	3	0	0	0	3	0	0	0	2	0	0	0	1	0	0	1	1	2	0	0	1	3	0	0	1	1	1	2	0	0	0	0	0	1	1	0	3	0	0	0	0	0	2	6	0	0	3	0	0	1	0	1	7	0	0	0	1	0	2	3	2	0	0	0	0	0	2	0	1	0	0	2	0	3	0	2	1	0	8	1	0	0	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	6	1	0	0	0	0	0	0	0	2	0	3	1	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	2	0	0	0	3	2	0	0	0	0	0	1	0	1	3	0	0	0	1	0	0	0	2	0	0	2	2	2	4	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	2	0	2	0	0	5	2	0	4	1	2	2	1	0	0	1	2	2	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	4	1	2	0	0	0	2	0	0	1	0	3	0	5	0	0	2	0	5	0	0	3	1	0	0	1	0	2	0	0	1	0	2	0	0	1	0	1	0	0	0	3	0	2	1	0	2	3	1	1	0	0	2	0	0	1	0	1	0	2
Steve Pavlina	0	0	1	1	0	0	0	3	1	2	6	1	0	1	0	0	0	0	0	2	31	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3	1	4	0	1	1	0	0	2	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	20	0	0	0	0	20	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	20	0	0	3	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	23	0	1	0	0	0	0	0	0	0	0	1	0	0	2	3	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	0	0	0	0	0	0	4	1	9	0	0	3	1	0	0	1	1	0	2	0	1	0	0	0	0	3	0	4	1	0	0	4	1	0	2	0	1	1	0	0	0	2	0	0	1	1	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	1	0	3	3	0	1	0	1	0	0	0	0	2	1	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	4	0	1	0	3	0	1	0	0	0	0	2	1	0	0	1	4	1	2	2	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	2	0	1	0	0	0	1	3	3
